mut,fitness,1,2,3,4
ancestor,0.997,-0.01,0,0,0
r,1.012,-0.013,0,0,0
t,1.142,-0.023,0,0,0
s,1.105,-0.017,0,0,0
g,1.027,-0.016,0,0,0
p,1,-0.013,0,0,0
rt,1.103,-0.018,-0.053,0.004,-0.021
rs,1.118,-0.019,0,0.973,0
rg,1.047,-0.013,0.007,0.557,0.003
rp,1.022,-0.018,0.009,0.507,0.004
ts,1.205,-0.021,-0.057,0.008,-0.02
tg,1.149,-0.015,-0.023,0.072,-0.009
tp,1.193,-0.023,0.051,0.006,0.019
sg,1.124,-0.012,-0.01,0.312,-0.004
sp,1.185,-0.023,0.079,0.001,0.03
gp,1.075,-0.027,0.048,0.005,0.02
rts,1.197,-0.021,-0.08,0.001,-0.028
rtg,1.158,-0.025,-0.028,0.172,-0.01
rtp,1.189,-0.024,0.033,0.122,0.012
rsg,1.124,-0.027,-0.024,0.21,-0.009
rsp,1.204,-0.021,0.085,0.001,0.032
rgp,1.126,-0.02,0.087,0.001,0.035
tsg,1.201,-0.031,-0.094,0.001,-0.033
tsp,1.28,-0.028,0.018,0.426,0.006
tgp,1.216,-0.039,0.044,0.104,0.016
sgp,1.186,-0.024,0.052,0.015,0.019
rtsg,1.228,-0.021,-0.083,0.002,-0.028
rtsp,1.277,-0.039,-0.001,0.979,0
rtgp,1.19,-0.03,0.003,0.915,0.001
rsgp,1.212,-0.016,0.064,0.003,0.023
tsgp,1.3,-0.031,0.005,0.858,0.002
rtsgp,1.328,-0.031,0.016,0.57,0.005
